ID,Titulo,Epica,EpicaNombre,Como,Quiero,Para,Puntos,Microservicio,PaqueteFlutter,Tablas,Pantalla,DependeDe,Etiquetas,CriteriosAceptacion,Notas
HU-001,Scaffolding del monorepo de backend,E00,Fundación,desarrollador,tener el repo `regenta-backend` con un módulo Maven por microservicio y un POM padre,que agregar un servicio nuevo sea copiar una carpeta y no rediscutir la estructura,5,todos,—,,—,,"fundacion, backend","1. Dado el repo recién clonado, cuando ejecuto `./mvnw -q -DskipTests package`, entonces compilan los 15 módulos y el gateway sin errores.
2. Dado el POM padre, cuando reviso las versiones, entonces Spring Boot, Java 21 y las dependencias comunes están declaradas una sola vez en `dependencyManagement`.
3. Dado un módulo cualquiera, cuando abro su `src/main/java`, entonces los paquetes están por feature (`com.regenta.ventas.domain`, `com.regenta.ventas.api`) y no por capa.
4. Dado el repo, cuando busco archivos de contexto de asistentes, entonces no hay ninguno versionado y el `.gitignore` los excluye.","Servicios: gateway, usuarios, clientes, inventario, ventas, compras, recursos, reservas, menu, mesas, comandas, facturacion, caja, alertas, reportes, auditoria."
HU-002,Scaffolding del monorepo Flutter con melos,E00,Fundación,desarrollador,tener `regenta-app` como monorepo melos con un paquete por módulo y una sola app,que la app cargue solo los paquetes del patrón operativo del negocio,5,—,todos,,—,,"fundacion, flutter","1. Dado el repo recién clonado, cuando ejecuto `melos bootstrap`, entonces se resuelven las dependencias de todos los paquetes sin conflictos.
2. Dado `apps/regenta`, cuando ejecuto `flutter run -d chrome` y `flutter run -d android`, entonces arranca en ambos destinos con la misma base de código.
3. Dado un paquete de módulo, cuando reviso su `pubspec.yaml`, entonces depende de `core` y nunca de otro paquete de módulo.
4. Dado `flutter analyze`, cuando lo ejecuto en la raíz, entonces no hay advertencias en ningún paquete.","Paquetes: core, usuarios, reportes, facturacion, inventario, ventas, compras, recursos, reservas, menu, mesas, comandas."
HU-003,Levantar el entorno local con Docker Compose,E00,Fundación,desarrollador,"levantar PostgreSQL, RabbitMQ y los servicios con un solo comando",poder trabajar sin depender de infraestructura desplegada,3,todos,—,,—,HU-001,"fundacion, infra","1. Dado el repo, cuando ejecuto `docker compose up -d`, entonces quedan arriba PostgreSQL 16, RabbitMQ con panel de administración y los servicios declarados.
2. Dado el compose levantado, cuando consulto `http://localhost:15672`, entonces el panel de RabbitMQ responde.
3. Dado un servicio, cuando lo detengo y lo vuelvo a levantar, entonces conserva sus datos en un volumen nombrado.
4. Dado `docker compose down -v`, cuando lo ejecuto, entonces el entorno queda limpio para empezar de cero.",
HU-004,Crear una base de datos por microservicio,E00,Fundación,arquitecto,"que cada microservicio tenga su propia base, nunca una compartida",que ningún servicio pueda leer las tablas de otro ni por error,5,todos,—,,—,HU-003,"fundacion, bbdd","1. Dado el arranque del compose, cuando reviso PostgreSQL, entonces existe una base por servicio con su propio usuario y contraseña.
2. Dado el usuario de un servicio, cuando intenta consultar una tabla de la base de otro, entonces PostgreSQL lo rechaza por permisos.
3. Dado el script de inicialización, cuando se ejecuta dos veces, entonces es idempotente y no falla.
4. Dado un servicio, cuando reviso su `application.yml`, entonces apunta solo a su propia base.","El DDL de `modelo-datos/sql/` se carga en una sola base para revisar el modelo entero; en ejecución cada esquema vive en su propia base. No hay ni una FK que cruce esquemas, así que la separación no rompe nada."
HU-005,Migraciones versionadas con Flyway por servicio,E00,Fundación,desarrollador,que el esquema de cada servicio se cree y evolucione con migraciones versionadas,"que el esquema en local, en CI y en producción sea siempre el mismo",5,todos,—,,—,HU-004,"fundacion, bbdd","1. Dado un servicio recién arrancado contra una base vacía, cuando inicia, entonces Flyway aplica sus migraciones y el esquema queda completo.
2. Dado el DDL de `modelo-datos/sql/`, cuando lo porto a migraciones, entonces cada servicio tiene su `V1__esquema_inicial.sql` con solo sus tablas.
3. Dada una migración ya aplicada, cuando alguien la modifica, entonces Flyway falla con error de checksum en vez de aplicarla en silencio.
4. Dado el arranque, cuando reviso los logs, entonces se ve qué versión de esquema quedó aplicada.","Las extensiones `pgcrypto`, `btree_gist`, `pg_trgm` y `unaccent` van en la primera migración de los servicios que las usan."
HU-006,Row-Level Security activa en todas las tablas de negocio,E00,Fundación,arquitecto,que PostgreSQL rechace por sí solo cualquier consulta que intente ver datos de otro negocio,que un `WHERE` olvidado no se convierta en una fuga entre clientes,8,todos,—,,—,HU-005,"fundacion, bbdd, seguridad","1. Dada una tabla de negocio, cuando reviso su definición, entonces tiene `ENABLE ROW LEVEL SECURITY` y `FORCE ROW LEVEL SECURITY` con la política `tenant_isolation`.
2. Dada una transacción sin `app.negocio_id` fijado, cuando consulto cualquier tabla de negocio, entonces devuelve cero filas.
3. Dada una transacción con el `negocio_id` del negocio A, cuando consulto filas del negocio B por id directo, entonces no las devuelve.
4. Dado un test de integración con dos negocios cargados, cuando ejecuto el mismo repositorio con un tenant y con el otro, entonces cada uno ve solo lo suyo.","CRÍTICO: la variable se fija con `SET LOCAL app.negocio_id`, **nunca** con `SET`. HikariCP reutiliza conexiones entre peticiones; un `SET` normal deja el negocio anterior pegado a la conexión y convierte el mecanismo de seguridad en la fuga. Va en un interceptor atado a la transacción, no en la configuración del pool."
HU-007,API Gateway con validación de JWT y enrutamiento,E00,Fundación,arquitecto,un único punto de entrada que valide el token y enrute a cada microservicio,no duplicar la lógica de autenticación en cada servicio ni en cada cliente,5,gateway,—,,—,HU-001,"fundacion, backend, seguridad","1. Dada una petición sin token, cuando llega al gateway, entonces responde 401 sin tocar el servicio destino.
2. Dada una petición con token válido, cuando llega, entonces el gateway la enruta y propaga `negocio_id`, plan, patrón y roles al servicio.
3. Dado un token expirado o con firma inválida, cuando llega, entonces responde 401 y lo registra con el `trace_id`.
4. Dado un negocio en estado `SUSPENDIDO` o `CANCELADO`, cuando su usuario hace una petición, entonces el gateway responde 402 y no enruta.",
HU-008,Outbox e Inbox como librería compartida,E00,Fundación,desarrollador,una librería con el patrón Outbox e Inbox que todo servicio pueda usar,que ningún evento se pierda cuando el bus está caído ni se procese dos veces cuando llega repetido,8,todos,—,"outbox_eventos, inbox_eventos",—,HU-005,"fundacion, backend, eventos","1. Dado un agregado que se guarda, cuando la transacción hace commit, entonces el evento quedó insertado en `outbox_eventos` en esa misma transacción.
2. Dado RabbitMQ caído, cuando se guarda un agregado, entonces la operación termina bien y el evento queda `PENDIENTE` para publicarse después.
3. Dado un publicador corriendo, cuando hay eventos pendientes, entonces los publica y los marca `PUBLICADO` con su marca de tiempo.
4. Dado un evento que ya se procesó, cuando llega otra vez, entonces el consumidor lo descarta por el `mensaje_id` del Inbox y no repite el efecto.
5. Dado un evento que falla 10 veces, cuando se agota el reintento, entonces queda `FALLIDO` y se enruta a una cola muerta.",Sin Outbox no hay atomicidad entre guardar y publicar: un broker caído después del commit hace desaparecer el evento sin error visible. Sin Inbox no hay idempotencia: AMQP entrega *at-least-once*.
HU-009,Pipeline de CI para ambos repos,E00,Fundación,desarrollador,que cada push y cada PR compile y ejecute los tests automáticamente,no descubrir en producción algo que un test hubiera atrapado,3,todos,todos,,—,"HU-001, HU-002","fundacion, ci","1. Dado un push a cualquier rama, cuando corre el workflow, entonces compila y ejecuta los tests de los módulos afectados.
2. Dado un PR, cuando los tests fallan, entonces el merge queda bloqueado.
3. Dado el repo Flutter, cuando corre el workflow, entonces ejecuta `flutter analyze` y `flutter test`.
4. Dado el repo backend, cuando corre el workflow, entonces levanta Postgres con Testcontainers para los tests de integración.",
HU-010,Documentación OpenAPI por servicio,E00,Fundación,desarrollador de la app,que cada servicio publique su contrato OpenAPI actualizado,poder generar el cliente Dart sin adivinar la forma de las respuestas,2,todos,—,,—,HU-001,"fundacion, backend","1. Dado un servicio corriendo, cuando consulto `/swagger-ui`, entonces veo sus endpoints documentados.
2. Dado un endpoint, cuando lo reviso en el contrato, entonces declara sus códigos de respuesta, incluidos 401, 402, 403 y 422.
3. Dado el contrato, cuando genero el cliente Dart, entonces compila sin ajustes manuales.",
HU-011,Registrar un negocio nuevo con su plan y patrón,E01,Core · Tenant e identidad,operador de Regenta,dar de alta un negocio eligiendo plan y patrón operativo,vender a un cliente nuevo sin desplegar nada,5,servicio-usuarios,core,"negocios, planes, patrones_operativos, suscripciones, configuracion_negocio",—,HU-006,"core, backend","1. Dado un documento fiscal ya registrado en el mismo país, cuando intento crear el negocio, entonces responde 409 y no lo duplica.
2. Dado un negocio creado, cuando reviso la base, entonces existe su fila en `negocios`, su `configuracion_negocio` y una `suscripcion` vigente.
3. Dado un negocio creado, cuando consulto sus módulos, entonces `negocio_modulos` refleja exactamente los del plan contratado.
4. Dado un negocio creado, cuando reviso el evento publicado, entonces salió `negocio_creado` con id, plan y patrón.",El patrón operativo es inmutable en la práctica: cambiarlo tras operar exige migrar datos entre modelos distintos. El servicio lo bloquea si el negocio ya tiene transacciones.
HU-012,Crear el primer usuario administrador del negocio,E01,Core · Tenant e identidad,operador de Regenta,que al crear un negocio se cree su primer usuario administrador,que el cliente pueda entrar el mismo día sin intervención nuestra,3,servicio-usuarios,core,"usuarios, roles, usuario_roles, plantillas_rol",—,HU-011,"core, backend","1. Dado un negocio recién creado, cuando termina el alta, entonces existe un usuario con rol Administrador y todos los permisos.
2. Dado ese negocio, cuando reviso sus roles, entonces se instanciaron las plantillas comunes (Administrador, Gerente) y las del patrón elegido.
3. Dado un patrón Venta directa, cuando reviso las plantillas, entonces están Vendedor y Cajero, y no están Recepcionista ni Mesero.",El motor de roles no cambia entre patrones; solo cambian las plantillas que el negocio instancia.
HU-013,Autenticación con emisión de JWT,E01,Core · Tenant e identidad,usuario del negocio,entrar con mi correo y contraseña y recibir un token,poder usar la app desde el celular y desde el navegador,5,servicio-usuarios,core,"usuarios, refresh_tokens, negocios, planes",design/pantallas/LoginWeb.html,HU-012,"core, backend, seguridad","1. Dadas credenciales correctas, cuando entro, entonces recibo un JWT con `negocio_id`, plan, patrón, roles y sucursales, y un refresh token.
2. Dado que el mismo correo existe en dos negocios, cuando entro, entonces el API devuelve la lista de negocios para que elija antes de emitir el token.
3. Dadas credenciales incorrectas cinco veces seguidas, cuando intento la sexta, entonces la cuenta queda bloqueada temporalmente y el API responde 423.
4. Dado un usuario en estado `INACTIVO` o `BLOQUEADO`, cuando intento entrar, entonces responde 401 sin decir cuál de las dos cosas pasa.","El correo es único **por negocio**, no global: la misma persona puede trabajar en dos negocios clientes."
HU-014,Rotación y revocación de refresh tokens,E01,Core · Tenant e identidad,responsable de seguridad,que el refresh token rote en cada uso y se pueda revocar,que un token robado tenga ventana corta y se pueda cortar el acceso de un dispositivo,3,servicio-usuarios,core,refresh_tokens,—,HU-013,"core, backend, seguridad","1. Dado un refresh token válido, cuando lo uso, entonces recibo uno nuevo y el anterior queda revocado.
2. Dado un refresh token ya usado, cuando lo reutilizo, entonces se revoca toda la cadena de esa sesión y responde 401.
3. Dado un dispositivo listado, cuando lo revoco desde la app, entonces sus tokens dejan de servir de inmediato.",
HU-015,Gestión de usuarios del negocio con límite por plan,E01,Core · Tenant e identidad,administrador del negocio,"invitar, editar y desactivar usuarios de mi negocio",controlar quién entra al sistema sin depender de soporte,5,servicio-usuarios,usuarios,"usuarios, invitaciones, usuario_roles, usuario_sucursales",design/pantallas/UsuariosWeb.html,HU-012,"core, backend, flutter","1. Dado un plan Profesional con 10 usuarios permitidos y 10 activos, cuando invito a uno más, entonces responde 402 indicando el límite del plan.
2. Dado un correo ya usado en mi negocio, cuando lo invito, entonces responde 409.
3. Dada una invitación enviada, cuando el invitado la acepta antes de que expire, entonces su usuario queda `ACTIVO` con el rol asignado.
4. Dada una invitación expirada, cuando intentan aceptarla, entonces responde 410.
5. Dado un usuario desactivado, cuando intenta entrar, entonces no puede, pero sus ventas históricas siguen atribuidas a él.",
HU-016,Motor de roles y permisos por negocio,E01,Core · Tenant e identidad,administrador del negocio,definir roles con permisos específicos,que el vendedor no pueda editar precios ni ver los costos,5,servicio-usuarios,usuarios,"roles, permisos, rol_permisos, plantillas_rol",design/pantallas/UsuariosWeb.html,HU-015,"core, backend, flutter","1. Dado el catálogo global de permisos, cuando creo un rol, entonces puedo asignarle cualquier subconjunto.
2. Dado un usuario sin el permiso `INVENTARIO_PRODUCTO_EDITAR`, cuando intenta editar un producto, entonces el API responde 403.
3. Dado un rol de sistema (Administrador), cuando intento eliminarlo, entonces responde 409.
4. Dado un rol asignado a usuarios, cuando lo elimino, entonces se me exige reasignar a esos usuarios primero.
5. Dado un rol acotado a una sucursal, cuando el usuario consulta datos de otra sucursal, entonces no los ve.",El Core solo conoce «rol» y «permiso». Nunca hardcodear nombres de rol específicos de un patrón.
HU-017,Validación de módulo por plan en el backend,E01,Core · Tenant e identidad,arquitecto,una anotación que bloquee el acceso a un módulo que el plan no incluye,que ocultar el botón en la app no sea la única defensa,5,todos,—,"negocio_modulos, plan_modulos, modulo_dependencias",—,"HU-007, HU-011","core, backend, seguridad","1. Dado un endpoint anotado con `@RequiereModulo(""FACTURACION"")` y un negocio en plan Básico, cuando lo llamo, entonces responde **402 Payment Required**, no 403.
2. Dado un negocio con el módulo activo como add-on, cuando llamo al endpoint, entonces pasa aunque su plan base no lo incluya.
3. Dado un cambio de plan, cuando se publica `plan_cambiado`, entonces la caché de módulos activos se invalida en todos los servicios.
4. Dado el grafo de dependencias, cuando intento activar `FACTURACION` sin `VENTAS`, entonces se rechaza.",
HU-018,Configuración fiscal y de operación del negocio,E01,Core · Tenant e identidad,administrador del negocio,"configurar mis datos fiscales, impuestos y preferencias",que las facturas salgan con mis datos y los precios calculen bien,5,servicio-usuarios,core,"configuracion_negocio, impuestos",design/pantallas/ConfiguracionWeb.html,HU-011,"core, backend, flutter","1. Dado mi negocio, cuando edito razón social, NIT, régimen y responsabilidades fiscales, entonces se guardan y se publica `configuracion_negocio_actualizada`.
2. Dado que creo un impuesto IVA 19%, cuando lo marco por defecto, entonces los productos nuevos lo toman.
3. Dado un impuesto usado en documentos emitidos, cuando intento cambiar su porcentaje, entonces se me obliga a crear uno nuevo en vez de modificarlo.
4. Dada la opción «los precios incluyen impuesto», cuando la cambio, entonces se advierte que afecta el cálculo de todas las ventas nuevas.",
HU-019,Sucursales y bodegas del negocio,E01,Core · Tenant e identidad,administrador del negocio,administrar mis sucursales,poder operar en más de un punto físico,3,servicio-usuarios,core,"sucursales, usuario_sucursales",design/pantallas/ConfiguracionWeb.html,"HU-017, HU-018","core, backend, flutter","1. Dado un plan sin Multi-sucursal, cuando intento crear una segunda sucursal, entonces responde 402.
2. Dado un negocio nuevo, cuando se crea, entonces tiene una sucursal principal por defecto.
3. Dado que marco otra sucursal como principal, cuando guardo, entonces la anterior deja de serlo (solo puede haber una).
4. Dado un usuario asignado a una sucursal, cuando consulta datos, entonces solo ve los de esa sucursal.",`sucursal_id` existe en el modelo desde el día 1 aunque Multi-sucursal se venda en Empresarial: agregarla después obliga a reescribir todos los índices.
HU-020,Consulta del plan y los módulos activos desde la app,E01,Core · Tenant e identidad,usuario del negocio,que la app sepa qué módulos tengo activos,que no me muestre pantallas que mi plan no incluye,3,servicio-usuarios,core,"negocio_modulos, planes, modulos",—,HU-017,"core, flutter","1. Dado que entro, cuando la app lee el token, entonces conoce plan, patrón y módulos activos sin una llamada extra.
2. Dado un módulo inactivo, cuando reviso la navegación, entonces su entrada no aparece.
3. Dado un módulo que se activa mientras estoy en sesión, cuando refresco el token, entonces la navegación se actualiza.",
HU-021,Crear y consultar clientes,E02,Clientes y cartera,vendedor,registrar clientes con sus datos fiscales y de contacto,poder facturarles y llevar su historial,5,servicio-clientes,core,"clientes, direcciones_cliente, contactos_cliente",design/pantallas/ClientesWeb.html,HU-011,"clientes, backend, flutter","1. Dado un documento ya registrado en mi negocio, cuando creo otro cliente con el mismo, entonces responde 409.
2. Dado un cliente de tipo JURIDICA sin razón social, cuando lo guardo, entonces responde 422 nombrando el campo.
3. Dado que busco por nombre parcial, cuando escribo tres letras, entonces la búsqueda responde en menos de 300 ms sobre 10.000 clientes.
4. Dado un cliente sin documento, cuando lo creo como «consumidor final», entonces se permite y no choca con otros iguales.",
